xvalue,yvalue,time
0,0,2024-07-12 20:35:02.326
2,0,2024-07-12 20:35:02.423
3,0,2024-07-12 20:35:02.535
4,2,2024-07-12 20:35:02.633
5,2,2024-07-12 20:35:02.738
5,2,2024-07-12 20:35:02.857
5,2,2024-07-12 20:35:02.950
5,2,2024-07-12 20:35:03.053
5,2,2024-07-12 20:35:03.158
5,1,2024-07-12 20:35:03.263
5,1,2024-07-12 20:35:03.367
5,1,2024-07-12 20:35:03.472
5,1,2024-07-12 20:35:03.586
5,1,2024-07-12 20:35:03.690
5,1,2024-07-12 20:35:03.788
5,1,2024-07-12 20:35:03.889
5,1,2024-07-12 20:35:04.012
5,1,2024-07-12 20:35:04.104
5,1,2024-07-12 20:35:04.218
5,1,2024-07-12 20:35:04.307
5,1,2024-07-12 20:35:04.427
5,2,2024-07-12 20:35:04.522
7,3,2024-07-12 20:35:04.622
6,4,2024-07-12 20:35:04.726
4,4,2024-07-12 20:35:04.832
4,4,2024-07-12 20:35:04.937
4,4,2024-07-12 20:35:05.041
2,2,2024-07-12 20:35:05.158
4,42,2024-07-12 20:35:05.267
-33,78,2024-07-12 20:35:05.361
-33,112,2024-07-12 20:35:05.466
-31,112,2024-07-12 20:35:05.572
-42,119,2024-07-12 20:35:05.677
-40,126,2024-07-12 20:35:05.774
-55,97,2024-07-12 20:35:05.888
-64,81,2024-07-12 20:35:05.983
-47,67,2024-07-12 20:35:06.089
-47,67,2024-07-12 20:35:06.193
-46,63,2024-07-12 20:35:06.299
-35,83,2024-07-12 20:35:06.402
-66,86,2024-07-12 20:35:06.508
-72,84,2024-07-12 20:35:06.626
-72,84,2024-07-12 20:35:06.717
-72,85,2024-07-12 20:35:06.835
-71,85,2024-07-12 20:35:06.934
-71,85,2024-07-12 20:35:07.036
-71,85,2024-07-12 20:35:07.137
-71,85,2024-07-12 20:35:07.255
-71,85,2024-07-12 20:35:07.366
-71,85,2024-07-12 20:35:07.453
-71,85,2024-07-12 20:35:07.557
-71,85,2024-07-12 20:35:07.674
-71,85,2024-07-12 20:35:07.770
-71,85,2024-07-12 20:35:07.884
-71,85,2024-07-12 20:35:07.976
-71,85,2024-07-12 20:35:08.093
-71,85,2024-07-12 20:35:08.189
-71,85,2024-07-12 20:35:08.292
-71,85,2024-07-12 20:35:08.393
-71,85,2024-07-12 20:35:08.504
-71,85,2024-07-12 20:35:08.601
-71,85,2024-07-12 20:35:08.727
-71,85,2024-07-12 20:35:08.815
-71,85,2024-07-12 20:35:08.920
-71,85,2024-07-12 20:35:09.031
-71,85,2024-07-12 20:35:09.141
-71,85,2024-07-12 20:35:09.231
-71,85,2024-07-12 20:35:09.354
-71,85,2024-07-12 20:35:09.442
-71,85,2024-07-12 20:35:09.564
-71,85,2024-07-12 20:35:09.655
-71,85,2024-07-12 20:35:09.769
-71,85,2024-07-12 20:35:09.861
-71,85,2024-07-12 20:35:09.978
-71,85,2024-07-12 20:35:10.071
-71,85,2024-07-12 20:35:10.194
-71,85,2024-07-12 20:35:10.280
-71,85,2024-07-12 20:35:10.389
-71,85,2024-07-12 20:35:10.489
-71,85,2024-07-12 20:35:10.594
-71,85,2024-07-12 20:35:10.698
-71,85,2024-07-12 20:35:10.805
-71,85,2024-07-12 20:35:10.907
-71,85,2024-07-12 20:35:11.012
-78,82,2024-07-12 20:35:11.136
-75,77,2024-07-12 20:35:11.224
-75,76,2024-07-12 20:35:11.325
-75,76,2024-07-12 20:35:11.430
-76,76,2024-07-12 20:35:11.536
-77,76,2024-07-12 20:35:11.654
-77,76,2024-07-12 20:35:11.749
-77,76,2024-07-12 20:35:11.858
-76,78,2024-07-12 20:35:11.957
-78,78,2024-07-12 20:35:12.059
-79,78,2024-07-12 20:35:12.164
-80,78,2024-07-12 20:35:12.271
-80,78,2024-07-12 20:35:12.375
-81,78,2024-07-12 20:35:12.486
-81,78,2024-07-12 20:35:12.585
-81,78,2024-07-12 20:35:12.702
-81,78,2024-07-12 20:35:12.795
-81,78,2024-07-12 20:35:12.896
-81,78,2024-07-12 20:35:13.005
-81,78,2024-07-12 20:35:13.115
-81,78,2024-07-12 20:35:13.214
-81,78,2024-07-12 20:35:13.315
-78,79,2024-07-12 20:35:13.419
-78,78,2024-07-12 20:35:13.524
-75,77,2024-07-12 20:35:13.641
-75,83,2024-07-12 20:35:13.738
-74,82,2024-07-12 20:35:13.854
-73,82,2024-07-12 20:35:13.947
-72,80,2024-07-12 20:35:14.052
-70,78,2024-07-12 20:35:14.152
-75,78,2024-07-12 20:35:14.259
-68,84,2024-07-12 20:35:14.362
-69,84,2024-07-12 20:35:14.469
-70,84,2024-07-12 20:35:14.572
-71,85,2024-07-12 20:35:14.676
-71,85,2024-07-12 20:35:14.780
-71,85,2024-07-12 20:35:14.886
-72,85,2024-07-12 20:35:15.004
-72,86,2024-07-12 20:35:15.145
-72,87,2024-07-12 20:35:15.200
-67,87,2024-07-12 20:35:15.303
-65,82,2024-07-12 20:35:15.410
-64,81,2024-07-12 20:35:15.529
-64,81,2024-07-12 20:35:15.622
-63,81,2024-07-12 20:35:15.730
-64,81,2024-07-12 20:35:15.829
-64,81,2024-07-12 20:35:15.933
-64,81,2024-07-12 20:35:16.038
-64,81,2024-07-12 20:35:16.143
-64,81,2024-07-12 20:35:16.247
-64,81,2024-07-12 20:35:16.352
-64,81,2024-07-12 20:35:16.458
-64,81,2024-07-12 20:35:16.562
-64,81,2024-07-12 20:35:16.668
-64,81,2024-07-12 20:35:16.786
-64,81,2024-07-12 20:35:16.878
-64,81,2024-07-12 20:35:16.991
-64,81,2024-07-12 20:35:17.086
-64,81,2024-07-12 20:35:17.208
-64,81,2024-07-12 20:35:17.297
